Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
'0101,"Live horses, asses, mules and hinnies",120,84,365,233,159,168,230,85,246,179,209,293
'0102,Live bovine animals,0,30,1159,1991,51,0,0,478,3534,4522,8197,12302
'0104,Live sheep and goats,0,206,253,2076,864,33,0,2702,28949,28928,37295,64117
'0105,"""Live poultry, """"fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""""""",3425,4707,8809,19570,30819,24667,31021,51036,47993,46179,56165,48448
'0106,"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ...",2670,3114,2877,2851,2579,3106,3422,3666,3891,3599,4531,3854
'0201,"Meat of bovine animals, fresh or chilled",401,421,155,151,284,436,437,449,633,2062,2650,517
'0202,"Meat of bovine animals, frozen",237,424,7389,10143,174,264,30,611,12244,5368,8934,15427
'0203,"Meat of swine, fresh, chilled or frozen",0,0,3085,3227,0,0,0,10,1773,2798,2956,3260
'0204,"Meat of sheep or goats, fresh, chilled or frozen",97,209,1488,1449,399,1495,1405,1166,5592,1990,5565,32247
'0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, ...",794,791,2312,4078,3149,3731,11700,11220,8927,10217,12084,5268
'0207,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and ...",385363,527315,708853,806370,436827,361442,526544,568511,607152,545805,844459,1089127
'0208,"""Meat and edible offal of rabbits, hares, pigeons and other animals, fresh, chilled or frozen ...",3105,2807,2803,2797,2142,2251,1759,2101,2526,954,1851,2441
'0209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ...",1,4,1,1,1,0,0,0,0,0,0,48
'0210,"Meat and edible offal, salted, in brine, dried or smoked; edible flours and meals of meat or ...",256,517,1170,1844,1472,1259,952,529,905,745,438,667
'0301,Live fish,1316,10026,3656,2960,4086,4697,5299,5979,5804,5049,5238,6140
'0302,"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)",172375,167473,240550,335777,359282,404465,438796,472225,510927,540582,636734,642621
'0303,Frozen fish (excluding fish fillets and other fish meat of heading 0304),50000,56486,81312,81323,60171,61544,70889,95387,121628,144018,238741,389683
'0304,"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen",97400,106497,117604,136500,157915,193306,202901,205792,218117,231787,323433,414963
'0305,"Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, ...",40827,41200,44135,46596,38904,42404,34143,38703,41677,39340,40685,40700
'0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",4978,2417,5125,5830,6408,6964,7120,6191,9695,7519,13214,17686
'0307,"Molluscs, fit for human consumption, even smoked, whether in shell or not, live, fresh, chilled, ...",28416,29648,31587,24744,16659,22590,21784,32416,30642,27969,22490,17115
'0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, ...",0,0,0,553,4061,8711,16323,22897,37898,18301,18164,20084
'0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter",18659,22176,23504,27107,18291,16641,28508,32346,25493,20061,15859,19904
'0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",33634,7033,21157,62045,18398,88272,66666,46594,90017,52019,178075,172600
'0403,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and ...",10953,9857,10121,5885,14345,11056,16127,13808,10912,8626,6756,10337
'0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products ...",14263,18595,33754,45089,19095,20247,30809,27924,39955,52965,81209,56409
'0405,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy ...",3065,2407,5250,4857,2461,2036,6746,3580,23214,10596,17885,72997
'0406,Cheese and curd,114197,128968,160823,179078,161577,150137,153635,166540,174917,185905,152058,202970
