Product code,Product label,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
'0101,"Live horses, asses, mules and hinnies",2126990.0,2146363.0,2372206.0,2824189.0,2488978.0,2360432.0,2711826.0,2990785.0,3201458.0,2904259.0,3689448.0
'0102,Live bovine animals,8409482.0,8931017.0,8623391.0,9445057.0,8279916.0,7971043.0,8513819.0,9736621.0,9298932.0,8746296.0,8931748.0
'0104,Live sheep and goats,1876948.0,1610672.0,1667166.0,2085751.0,2166706.0,2078555.0,1852167.0,1871188.0,1924345.0,1553544.0,1796801.0
'0105,"""Live poultry, """"fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""""""",2912240.0,2966163.0,3175288.0,3151560.0,2842055.0,2899697.0,2953581.0,3251469.0,3180560.0,2965443.0,3310070.0
'0106,"Live animals (excluding horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, ...",1124715.0,1105329.0,1140308.0,1404853.0,1166141.0,1367436.0,1436805.0,1397486.0,1136136.0,1190544.0,1549566.0
'0201,"Meat of bovine animals, fresh or chilled",21668829.0,20955227.0,21567213.0,22772144.0,21138509.0,21217501.0,22769947.0,24713524.0,23956051.0,23373284.0,28880471.0
'0202,"Meat of bovine animals, frozen",18125676.0,18462382.0,21778550.0,24809167.0,22647296.0,20054746.0,22269208.0,24549412.0,28130838.0,26746039.0,31577052.0
'0203,"Meat of swine, fresh, chilled or frozen",30001392.0,30503328.0,30877799.0,31435160.0,25465392.0,27529718.0,30100763.0,28485618.0,32865864.0,37229782.0,36851948.0
'0204,"Meat of sheep or goats, fresh, chilled or frozen",7017226.0,5886794.0,6417629.0,7379320.0,6297154.0,5834981.0,7130526.0,7917776.0,7981993.0,7426823.0,9222459.0
'0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, ...",6811473.0,7179069.0,7412543.0,8163004.0,7106695.0,8183990.0,9144557.0,8503326.0,8232570.0,8335905.0,9700071.0
'0207,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and ...",26390607.0,26678602.0,27900078.0,28798412.0,24583337.0,24004740.0,25780132.0,27093390.0,27263869.0,25076541.0,29998280.0
'0208,"""Meat and edible offal of rabbits, hares, pigeons and other animals, fresh, chilled or frozen ...",990608.0,854812.0,900974.0,977647.0,859710.0,786723.0,808782.0,842560.0,778103.0,612542.0,693239.0
'0209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ...",1054749.0,1090278.0,980170.0,701202.0,462967.0,569609.0,625376.0,568624.0,797029.0,862965.0,886868.0
'0210,"Meat and edible offal, salted, in brine, dried or smoked; edible flours and meals of meat or ...",4988525.0,4699532.0,5134151.0,5516175.0,4651988.0,4441424.0,4613173.0,4844031.0,4654499.0,4438685.0,4986600.0
'0301,Live fish,1990873.0,2008402.0,2134265.0,1990371.0,1896668.0,1925091.0,1843699.0,2180732.0,2146497.0,1805072.0,2256150.0
'0302,"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)",15078837.0,14845865.0,17844770.0,18560062.0,16742220.0,19676282.0,20078305.0,22089127.0,21554915.0,19564424.0,23927275.0
'0303,Frozen fish (excluding fish fillets and other fish meat of heading 0304),21889032.0,22362092.0,23057557.0,23543931.0,20445571.0,21668065.0,23777893.0,24980049.0,25051498.0,22601618.0,24416267.0
'0304,"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen",20733166.0,19846416.0,20609175.0,22149816.0,20053951.0,21413726.0,23166389.0,25136194.0,24634624.0,22634665.0,26126581.0
'0305,"Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, ...",5665482.0,5506770.0,5680537.0,5938796.0,5450950.0,5684893.0,6055481.0,6391277.0,6360775.0,6025849.0,6344016.0
'0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ...",19831879.0,19609868.0,23070389.0,27278621.0,23660279.0,25753652.0,29429101.0,29025348.0,29532796.0,26968435.0,35282809.0
'0307,"Molluscs, fit for human consumption, even smoked, whether in shell or not, live, fresh, chilled, ...",11434649.0,10497250.0,10908159.0,11981816.0,11516781.0,12866582.0,13502159.0,14106060.0,13356210.0,11524767.0,14450496.0
'0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, ...",,511424.0,683522.0,764536.0,656119.0,607764.0,662998.0,749074.0,781809.0,646221.0,735157.0
'0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter",8988950.0,9150235.0,9452997.0,9746729.0,7516763.0,7604713.0,9492606.0,9668884.0,9278120.0,9039155.0,10365803.0
'0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",22023659.0,19738564.0,24660385.0,26566413.0,18070911.0,15965019.0,18869463.0,19144185.0,20563524.0,21343229.0,24262590.0
'0403,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and ...",4577088.0,4602236.0,4954980.0,4978351.0,4237434.0,4246579.0,4462736.0,4652907.0,4535797.0,4562469.0,4945678.0
'0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products ...",4995666.0,5155491.0,5812813.0,5965149.0,4141899.0,3759613.0,4550747.0,4311244.0,4577100.0,4937211.0,5651352.0
